    Energy    <xanes>    
   41.0072  3.5618055E-01
   41.1072  3.5457425E-01
   41.2072  3.5297147E-01
   41.3072  3.5137316E-01
   41.4072  3.4978026E-01
   41.5072  3.4819367E-01
   41.6072  3.4661428E-01
   41.7072  3.4504294E-01
   41.8072  3.4348047E-01
   41.9072  3.4192768E-01
   42.0072  3.4038535E-01
   42.1072  3.3885423E-01
   42.2072  3.3733504E-01
   42.3072  3.3582849E-01
   42.4072  3.3433523E-01
   42.5072  3.3285592E-01
   42.6072  3.3139117E-01
   42.7072  3.2994157E-01
   42.8072  3.2850769E-01
   42.9072  3.2709007E-01
   43.0072  3.2568921E-01
   43.1072  3.2430560E-01
   43.2072  3.2293969E-01
   43.3072  3.2159191E-01
   43.4072  3.2026267E-01
   43.5072  3.1895233E-01
   43.6072  3.1766125E-01
   43.7072  3.1638974E-01
   43.8072  3.1513810E-01
   43.9072  3.1390659E-01
   44.0072  3.1269545E-01
   44.1072  3.1150489E-01
   44.2072  3.1033509E-01
   44.3072  3.0918621E-01
   44.4072  3.0805838E-01
   44.5072  3.0695171E-01
   44.6072  3.0586627E-01
   44.7072  3.0480211E-01
   44.8072  3.0375927E-01
   44.9072  3.0273774E-01
   45.0072  3.0173751E-01
   45.1072  3.0075853E-01
   45.2072  2.9980072E-01
   45.3072  2.9886401E-01
   45.4072  2.9794827E-01
   45.5072  2.9705337E-01
   45.6072  2.9617915E-01
   45.7072  2.9532545E-01
   45.8072  2.9449207E-01
   45.9072  2.9367880E-01
   46.0072  2.9288540E-01
   46.1072  2.9211163E-01
   46.2072  2.9135724E-01
   46.3072  2.9062195E-01
   46.4072  2.8990547E-01
   46.5072  2.8920749E-01
   46.6072  2.8852771E-01
   46.7072  2.8786579E-01
   46.8072  2.8722142E-01
   46.9072  2.8659424E-01
   47.0072  2.8598390E-01
   47.1072  2.8539005E-01
   47.2072  2.8481231E-01
   47.3072  2.8425033E-01
   47.4072  2.8370373E-01
   47.5072  2.8317213E-01
   47.6072  2.8265515E-01
   47.7072  2.8215241E-01
   47.8072  2.8166352E-01
   47.9072  2.8118811E-01
   48.0072  2.8072578E-01
   48.1072  2.8027617E-01
   48.2072  2.7983888E-01
   48.3072  2.7941355E-01
   48.4072  2.7899979E-01
   48.5072  2.7859724E-01
   48.6072  2.7820553E-01
   48.7072  2.7782430E-01
   48.8072  2.7745320E-01
   48.9072  2.7709187E-01
   49.0072  2.7673997E-01
   49.1072  2.7639716E-01
   49.2072  2.7606311E-01
   49.3072  2.7573750E-01
   49.4072  2.7542002E-01
   49.5072  2.7511035E-01
   49.6072  2.7480821E-01
   49.7072  2.7451328E-01
   49.8072  2.7422530E-01
   49.9072  2.7394399E-01
